Bulgarian,English
аз,I
ти,you (singular informal)
той,he
тя,she
то,it
ние,we
вие,you (plural/formal)
те,they
и,and
в,in
на,of
с,with
за,for
от,from
до,to
по,by
като,like/as
че,that
не,no/not
да,yes/to
как,how
какво,what
кой,who
къде,where
кога,when
защо,why
всичко,everything
нищо,nothing
нещо,something
тук,here
там,there
сега,now
тогава,then
много,many/much
малко,little
добре,well
лошо,badly
голям,big
малък,small
стар,old
нов,new
добър,good
лош,bad
първи,first
последен,last
дълъг,long
кратък,short
ден,day
нощ,night
време,time
година,year
месец,month
седмица,week
час,hour
минута,minute
човек,person
хора,people
дете,child
приятел,friend
мъж,man
жена,woman
живот,life
свят,world
дом,home
град,city
улица,street
работа,work
училище,school
книга,book
вода,water
храна,food
ръка,hand
очи,eyes
глава,head
тяло,body
място,place
начин,way
нещо,something
вземам,take
давам,give
правя,do/make
казвам,say
отивам,go
идвам,come
виждам,see
знам,know
мисля,think
искам,want
мога,can
трябва,must
обичам,love
харесвам,like
работя,work
живея,live
отивам,go
стоя,stay
