Bulgarian,English
аз,I
ти,you (singular informal)
той,he
тя,she
то,it
ние,we
вие,you (plural/formal)
те,they
и,and
на,of
с,with
за,for
от,from
до,to
че,that
не,no/not
да,yes/to
какво,what
кой,who
къде,where
кога,when
защо,why
всичко,everything
нищо,nothing
нещо,something
тук,here
там,there
сега,now
тогава,then
много,many/much
малко,little
лошо,badly
голям,big
малък,small
стар,old
нов,new
първи,first
последен,last
дълъг,long
кратък,short
нощ,night
време,time
година,year
месец,month
седмица,week
час,hour
минута,minute
човек,person
хора,people
приятел,friend
жена,woman
живот,life
свят,world
дом,home
град,city
улица,street
училище,school
вода,water
храна,food
ръка,hand
очи,eyes
глава,head
тяло,body
място,place
начин,way
нещо,something
давам,give
правя,do/make
казвам,say
отивам,go
идвам,come
виждам,see
мисля,think
искам,want
трябва,must
обичам,love
работя,work
живея,live
отивам,go
стоя,stay
